제목,지역,분류,조회수,평점,북마크,url,주소
함지박매운불갈비,봉천/신림,소구이/불고기,921341,3.5,41,https://www.siksinhot.com/P/347415, 서울특별시 관악구 신림로65길 38
장군집 본점,봉천/신림,막걸리/동동주,1236526,3.5,26,https://www.siksinhot.com/P/267527, 서울특별시 관악구 청룡2길 19
정통계란말이김밥,봉천/신림,한식기타,975010,3.5,10,https://www.siksinhot.com/P/251465, 서울특별시 관악구 신림로70길 11 
봉추찜닭 서울대입구역점,서울대/샤로수길/낙성대,삼계탕/백숙/찜닭,7915,3.4,,https://www.siksinhot.com/P/466858, 서울 관악구 관악로16길 25
이모네,봉천/신림,떡볶이/라면/분식,492814,3.4,14,https://www.siksinhot.com/P/357137, 서울 관악구 신림로59길 12
신풍루 곱창구이,봉천/신림,곱창/대창,957518,3.4,18,https://www.siksinhot.com/P/321132, 서울특별시 관악구 은천로2길 18
포몬스 서울대점,서울대/샤로수길/낙성대,베트남,628014,3.4,14,https://www.siksinhot.com/P/321072, 서울특별시 관악구 남부순환로 1852
완산정,서울대/샤로수길/낙성대,해장국/국밥/육개장,826724,3.4,24,https://www.siksinhot.com/P/255053, 서울특별시 관악구 봉천로 484 
더고기,서울대/샤로수길/낙성대,돼지구이,743912,3.4,12,https://www.siksinhot.com/P/251387, 서울특별시 관악구 관악로16길 16
강강술래 신림점,봉천/신림,소구이/불고기,3154321,3.4,21,https://www.siksinhot.com/P/37030, 서울특별시 관악구 남부순환로 1660
고베그릴,사당/이수,소구이/불고기,127529,3.3,9,https://www.siksinhot.com/P/368897,고베그릴 
설빙 사당역점,사당/이수,카페/커피숍,106758,3.3,8,https://www.siksinhot.com/P/349544, 서울 관악구 과천대로 947
차연,봉천/신림,카페/커피숍,50216,3.3,6,https://www.siksinhot.com/P/321135, 서울특별시 관악구 호암로26길 71
만경양육관 ,사당/이수,중식,657811,3.3,11,https://www.siksinhot.com/P/319000,만경양육관  
시골명가 ,사당/이수,소구이/불고기,636710,3.3,10,https://www.siksinhot.com/P/318637, 서울 관악구 남현1길 40
낙성곱창,서울대/샤로수길/낙성대,곱창/대창,607715,3.3,15,https://www.siksinhot.com/P/255034, 서울 관악구 봉천로 495-3
돈뼈락연탄갈비 ,서울대/샤로수길/낙성대,돼지갈비,1382910,3.3,10,https://www.siksinhot.com/P/255107, 서울특별시 관악구 남부순환로 1835-26
짬뽕의복수,봉천/신림,중식,110769,3.3,9,https://www.siksinhot.com/P/251376, 서울특별시 관악구 남부순환로 1535
하노이별,봉천/신림,베트남,64198,3.3,8,https://www.siksinhot.com/P/67309, 서울특별시 관악구 신림로11길 18
홍오로,봉천/신림,해물탕/해물요리,1431949,3.3,49,https://www.siksinhot.com/P/24181, 서울특별시 관악구 호암로24길 46 
매운등갈비찜,봉천/신림,소구이/불고기,56282,3.2,2,https://www.siksinhot.com/P/479898, 서울 관악구 신림로67길 22
몽중인,서울대/샤로수길/낙성대,중식,46197,3.2,7,https://www.siksinhot.com/P/371215, 서울 관악구 관악로14가길 13
산야로,서울대/샤로수길/낙성대,해장국/국밥/육개장,50486,3.2,6,https://www.siksinhot.com/P/329268, 서울 관악구 관악로 111
수타원 ,봉천/신림,중식,50766,3.2,6,https://www.siksinhot.com/P/321073, 서울특별시 관악구 남부순환로 1727-10
미도정육점 직영식당,서울대/샤로수길/낙성대,소구이/불고기,84679,3.2,9,https://www.siksinhot.com/P/255020, 서울특별시 관악구 남부순환로248길 38 
족팔려족발보쌈,사당/이수,족발/보쌈,64655,3.2,5,https://www.siksinhot.com/P/254922,족팔려족발보쌈 
우드스탁,봉천/신림,다이닝바,699111,3.2,11,https://www.siksinhot.com/P/251516, 서울특별시 관악구 신림로59길 24 서연 
